"","vacc_coverage","vacc_efficacy","total_cases"
"1",0,0,13340
"2",0,0.1,13340
"3",0,0.2,13340
"4",0,0.3,13340
"5",0,0.4,13340
"6",0,0.5,13340
"7",0,0.6,13340
"8",0,0.7,13340
"9",0,0.8,13340
"10",0,0.9,13340
"11",0,1,13340
"12",0.1,0,13340
"13",0.1,0.1,13189
"14",0.1,0.2,13041
"15",0.1,0.3,12894
"16",0.1,0.4,12746
"17",0.1,0.5,12598
"18",0.1,0.6,12450
"19",0.1,0.7,12302
"20",0.1,0.8,12155
"21",0.1,0.9,12007
"22",0.1,1,11859
"23",0.2,0,13340
"24",0.2,0.1,13041
"25",0.2,0.2,12748
"26",0.2,0.3,12455
"27",0.2,0.4,12164
"28",0.2,0.5,11873
"29",0.2,0.6,11584
"30",0.2,0.7,11295
"31",0.2,0.8,11008
"32",0.2,0.9,10722
"33",0.2,1,10438
"34",0.3,0,13340
"35",0.3,0.1,12895
"36",0.3,0.2,12457
"37",0.3,0.3,12022
"38",0.3,0.4,11589
"39",0.3,0.5,11163
"40",0.3,0.6,10737
"41",0.3,0.7,10316
"42",0.3,0.8,9898
"43",0.3,0.9,9484
"44",0.3,1,9074
"45",0.4,0,13340
"46",0.4,0.1,12749
"47",0.4,0.2,12168
"48",0.4,0.3,11594
"49",0.4,0.4,11025
"50",0.4,0.5,10464
"51",0.4,0.6,9910
"52",0.4,0.7,9364
"53",0.4,0.8,8824
"54",0.4,0.9,8291
"55",0.4,1,7765
"56",0.5,0,13340
"57",0.5,0.1,12604
"58",0.5,0.2,11880
"59",0.5,0.3,11169
"60",0.5,0.4,10470
"61",0.5,0.5,9781
"62",0.5,0.6,9103
"63",0.5,0.7,8440
"64",0.5,0.8,7785
"65",0.5,0.9,7142
"66",0.5,1,6511
"67",0.6,0,13340
"68",0.6,0.1,12459
"69",0.6,0.2,11596
"70",0.6,0.3,10751
"71",0.6,0.4,9923
"72",0.6,0.5,9112
"73",0.6,0.6,8317
"74",0.6,0.7,7540
"75",0.6,0.8,6779
"76",0.6,0.9,6037
"77",0.6,1,5311
"78",0.7,0,13340
"79",0.7,0.1,12314
"80",0.7,0.2,11314
"81",0.7,0.3,10337
"82",0.7,0.4,9384
"83",0.7,0.5,8455
"84",0.7,0.6,7550
"85",0.7,0.7,6668
"86",0.7,0.8,5808
"87",0.7,0.9,4974
"88",0.7,1,4162
"89",0.8,0,13340
"90",0.8,0.1,12169
"91",0.8,0.2,11034
"92",0.8,0.3,9929
"93",0.8,0.4,8856
"94",0.8,0.5,7813
"95",0.8,0.6,6803
"96",0.8,0.7,5822
"97",0.8,0.8,4872
"98",0.8,0.9,3954
"99",0.8,1,3064
"100",0.9,0,13340
"101",0.9,0.1,12026
"102",0.9,0.2,10756
"103",0.9,0.3,9525
"104",0.9,0.4,8335
"105",0.9,0.5,7184
"106",0.9,0.6,6073
"107",0.9,0.7,5001
"108",0.9,0.8,3968
"109",0.9,0.9,2974
"110",0.9,1,2017
"111",1,0,13340
"112",1,0.1,11884
"113",1,0.2,10480
"114",1,0.3,9127
"115",1,0.4,7823
"116",1,0.5,6567
"117",1,0.6,5363
"118",1,0.7,4206
"119",1,0.8,3097
"120",1,0.9,2033
"121",1,1,1019
