"","transmission_coefficient","no_int","with_int","vacc_coverage","vacc_efficacy","cases_averted","percent_reduction"
"1",0.0048,0,0,0.7,0.7,0,NA
"2",0.0258222222222222,0,0,0.7,0.7,0,NA
"3",0.0468444444444444,0,0,0.7,0.7,0,NA
"4",0.0678666666666667,0,0,0.7,0.7,0,NA
"5",0.0888888888888889,0,0,0.7,0.7,0,NA
"6",0.109911111111111,13340,6665,0.7,0.7,6675,0.500374812593703
"7",0.130933333333333,59820,32531,0.7,0.7,27289,0.456185222333668
"8",0.151955555555556,93540,51942,0.7,0.7,41598,0.444708146247595
"9",0.172977777777778,119120,66744,0.7,0.7,52376,0.439691067830759
"10",0.194,139195,78379,0.7,0.7,60816,0.436912245411114
